gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj
ENSMUSG00000000184,0.008756224065667749,0.9710915753633955,0.9944847603423778
ENSMUSG00000000194,-0.1578035183707836,0.4800192212551474,0.8804153955245041
ENSMUSG00000000197,0.10214579143448625,0.8754875047120025,0.9806568934045784
ENSMUSG00000000202,-3.3632730101990136,0.36306373918053503,
ENSMUSG00000000204,-1.0331876322777478,0.5956945813848875,
ENSMUSG00000000214,1.0984213228526547,0.438905103734757,
ENSMUSG00000000215,2.300907020575453,0.5025119333756594,
ENSMUSG00000000216,,,
ENSMUSG00000000223,0.19667214446313178,0.9197829350077606,
ENSMUSG00000000244,-0.034693798287079275,0.9741011777052706,
ENSMUSG00000000247,0.10981132910384725,0.9501792126411513,
ENSMUSG00000000248,-0.1888513710225433,0.9617481790442041,
ENSMUSG00000000253,0.3431436144959788,0.21838880396567784,0.712533805834154
ENSMUSG00000000263,-0.06107041763350895,0.9400387377123272,0.9897966883266619
ENSMUSG00000000266,0.08144406221436483,0.7045808342720004,0.9465978538316754
ENSMUSG00000000275,-0.26992971281868466,0.23496750948110057,0.7301208095991397
ENSMUSG00000000276,-0.06216186444469319,0.7982813934286578,0.9681643047643224
ENSMUSG00000000278,-0.17503665408579708,0.48102688702535523,0.8807887078598812
ENSMUSG00000000282,-0.22258491844531061,0.4019854693450222,0.8473659209274136
ENSMUSG00000000290,-1.4735868958934382,0.004544504545265,0.1051550095404592
ENSMUSG00000000295,0.06119372996767612,0.8638166791981386,0.9790814964946136
ENSMUSG00000000296,0.46633111908144154,0.035215040356741806,0.35333867535748337
ENSMUSG00000000301,0.024432752886107058,0.9703500933343263,0.9944847603423778
ENSMUSG00000000303,-0.9987840303944301,0.08342015693225698,0.5155182202298402
ENSMUSG00000000305,-0.46897088834271944,0.18707691601579501,0.6790078673477639
ENSMUSG00000000308,-0.15189251099050632,0.9369129976311324,
ENSMUSG00000000317,0.09720354839702396,0.7546287752083333,0.9597550996109103
ENSMUSG00000000318,0.2189497801586532,0.8980464283206171,
ENSMUSG00000000320,0.6810953306589117,0.002014013233601848,0.06004636597895796
ENSMUSG00000000325,0.13364952343422734,0.7103623065684468,0.9470980151074578
ENSMUSG00000000326,0.1709755832343665,0.42756954258202695,0.8601436859791837
ENSMUSG00000000339,0.2543349173040105,0.2884807307717131,0.7824798819618939
ENSMUSG00000000340,0.07683139525205482,0.7740012992857033,0.9640688093550498
ENSMUSG00000000346,0.12547017895774354,0.4968963738552442,0.8878908827505725
ENSMUSG00000000355,0.3861598229240456,0.1320074526836248,0.613780037000342
ENSMUSG00000000359,0.0694631210018397,0.84093842447133,0.9759427813519306
ENSMUSG00000000365,-0.4083296359892437,0.7157518918368724,
ENSMUSG00000000374,-0.15113054114147836,0.48942172575801723,0.8844808920206465
ENSMUSG00000000378,0.2764777024097033,0.18215676128292924,0.6753223134043919
ENSMUSG00000000381,0.6153144949677305,0.733076405457344,
ENSMUSG00000000384,0.2406173477386746,0.31464226101261283,0.8001925144617205
ENSMUSG00000000385,-0.09277255906055487,0.8522085397097506,0.9782895910926337
ENSMUSG00000000386,-0.6272399806876117,0.4727130766829809,0.8766353917773323
ENSMUSG00000000392,-0.17204295574668546,0.6103485045372077,0.9197657824264511
ENSMUSG00000000394,,,
ENSMUSG00000000399,0.2141406283045782,0.3131079603105361,0.7987068608654831
ENSMUSG00000000402,-0.7263847876965988,0.8843568514279219,
ENSMUSG00000000409,-0.4820061058006467,0.6625021014071986,
ENSMUSG00000000411,-1.159739389915174,0.235411912774096,0.7301208095991397
ENSMUSG00000000416,-0.5430657832127279,0.03187934559877681,0.33648952778013697
ENSMUSG00000000420,-0.18334512693534868,0.3535144194605314,0.82220158170984
ENSMUSG00000000435,1.6777352020640235,0.7276026624231642,
ENSMUSG00000000439,0.16900770684597474,0.46882727631377596,0.8761710390215665
ENSMUSG00000000440,0.49747943269032713,0.651985848493706,
ENSMUSG00000000441,0.05116616303617333,0.7908033701969324,0.966698010874354
ENSMUSG00000000486,0.7249458674504425,0.09227769415437977,0.5358232138412063
ENSMUSG00000000489,0.11974254444366778,0.5566606766833718,0.904441178144019
ENSMUSG00000000530,0.5052332482746688,0.006470067306289678,0.13219750108753273
ENSMUSG00000000531,0.4650208953698905,0.037761803646699774,0.36389326482495843
ENSMUSG00000000532,-0.5480576547847903,0.314101662900068,0.79984507465698
ENSMUSG00000000538,0.03786571830650412,0.8469467939311084,0.977498833932445
ENSMUSG00000000544,,,
ENSMUSG00000000552,-0.1402306958215941,0.6897918253352116,0.943181327591051
ENSMUSG00000000555,-0.2886264320683945,0.1606914761333481,0.6531835767479361
ENSMUSG00000000560,-0.26292591879035426,0.9279147025193907,
ENSMUSG00000000561,-0.04833320847577957,0.8548317508088779,0.9790401219922417
ENSMUSG00000000562,-0.6179564688926018,0.7216873827127953,
ENSMUSG00000000563,0.15759992646281043,0.410345137129005,0.8527024026431471
ENSMUSG00000000567,0.2568852473236417,0.4167874958883033,0.856147705586539
ENSMUSG00000000568,-0.35530614828022616,0.1037472706509479,0.5571349897385415
ENSMUSG00000000579,-1.9975855904205764,0.2942033128334586,
ENSMUSG00000000581,0.1915172850611217,0.3871981996248768,0.8406914526967736
ENSMUSG00000000594,0.3200137774984752,0.11136621125820548,0.5730711448647847
ENSMUSG00000000600,-0.07424623385706468,0.7161592490279642,0.9474662053756748
ENSMUSG00000000605,-0.001328716643631482,0.9954752467295412,0.9994249350339914
ENSMUSG00000000606,,,
ENSMUSG00000000617,-3.5269099785491522,0.3330357655470839,
ENSMUSG00000000627,2.488930547157474,0.3735360292261004,
ENSMUSG00000000628,-1.9228327475656688,0.004301386922530027,0.10022162926832723
ENSMUSG00000000631,-0.21517714186470868,0.2836221594973478,0.7803081220521194
