gene,SRR5292044,SRR5292039,SRR5292051,SRR5292041,SRR5292047,SRR5292053,SRR5292052,SRR5292042,SRR5292046,SRR5292049,SRR5292045,SRR5292050,SRR5292043,SRR5292040,SRR5292054,SRR5292048
ENSMUSG00000000346,366.7592859764343,387.1453948139946,378.7214303494402,499.0507958698634,442.06943400325747,480.5521562135002,540.4914448941541,427.5357336425286,393.4513067781751,305.56800680010605,398.56565584723137,518.211809472702,455.299400678499,421.27449480566975,469.8705497614305,387.9677699307277
ENSMUSG00000000374,17.968034183283525,16.82066014808666,24.961500352581194,24.518704272686506,21.443666574784874,26.271644075453313,24.85718800453065,21.49419193217613,18.259259653949993,15.454786490164791,15.996769144841021,27.746101825144674,18.205040773511953,18.836004926822724,31.251675347544403,22.5732607870955
ENSMUSG00000000378,22.63101883292458,25.670083760132254,21.70263780654976,23.67902261951231,20.147620792792384,22.469169275058753,23.773495884442116,23.300426548325387,22.93778881795141,17.69461061917418,20.734273853120865,26.95335605871197,19.41871015841275,22.639428998585007,30.02738291124885,17.755466518386868
ENSMUSG00000000384,18.154553569269165,12.227066212062994,12.827437681187558,15.730036302796595,13.019368991833673,19.87657282024428,16.932689376383273,15.834656801575134,17.479504793283088,10.415182199893664,13.412675667597474,18.294133071523962,17.97386565257847,16.17964525765542,14.047144795391093,15.481900683715377
ENSMUSG00000000399,33.573489477415585,43.50403668822413,36.74887551907786,38.79329237664783,46.06853643264223,36.065897349196874,45.65053055872931,52.68184297101993,53.67312624257186,48.4921923930533,50.943557122801415,50.796709495264864,40.97579018546024,34.41193207784921,55.02872318928437,41.19484762345246
ENSMUSG00000000416,20.14409368644935,24.454132424125987,14.907562710569323,19.144741692371657,26.274382671302348,24.25518016615317,22.62207300684805,21.55439975271444,12.281139055503731,15.118812870813382,15.196930687598972,20.42844859653509,16.933577608377785,20.345300193395058,21.457335857179974,23.547646144811853
ENSMUSG00000000420,212.44558063764634,81.13097525241798,59.14488833542155,87.04699804572492,99.73661404151318,73.16883328031955,81.61556279416739,126.97829351529262,71.5425084661884,67.58669309285834,68.72458128764393,74.15221938324379,214.53051222627423,81.6226880162318,78.67689814299324,94.73190977797871
ENSMUSG00000000439,18.030207311945404,21.41425408411033,19.76118777912678,18.081144931684342,21.09019954333238,21.4897439476844,19.641919676604598,23.661673471555236,22.612890959340202,17.19065019014707,21.718690415880314,25.123942751559575,19.649885279346236,21.492364595990033,25.967886938268855,19.812502273565833
ENSMUSG00000000441,47.56244342633874,56.40663142029061,54.915300775678624,53.1798380343657,57.61512612675717,58.53506662425563,59.80625887738572,59.003664127542315,53.86806495773858,44.124535341484986,48.113359504868,61.346326233177024,47.044137109964225,56.87024564444553,62.24560491902658,49.96431584289963
ENSMUSG00000000489,77.46771831270335,118.2850438526094,67.534725953928,98.46666852889398,81.00286137453078,86.41988182714907,96.5840602028902,80.31723259810352,81.35442379624693,59.46733062519931,82.1372569552414,88.055760517602,71.77987504984713,84.15830406407332,114.05250590753319,91.80875370482966
ENSMUSG00000000530,207.34738408737215,220.42495607713565,203.02020286766037,222.85151075243147,181.6231429946752,232.6999351332367,226.69484537101928,238.12193022901008,209.10426180217465,131.1417027534998,217.18690415880312,246.05608981199728,163.90316074184096,218.18372373569656,265.8647680081819,151.89585076400473
ENSMUSG00000000531,14.797204621527607,20.26585560010441,32.796637963252515,33.643244903846096,21.443666574784874,40.67495771331149,33.32353269272228,26.73227231900897,24.432318967562978,15.286799680489086,25.594830631745637,35.2466963844695,16.355639806044074,39.84539503750961,30.73618379541996,17.268273839528693
ENSMUSG00000000538,82.37939547699193,106.3281890485478,81.33288864882705,118.17119799004843,109.28022389073062,116.72445372120266,108.0305582213253,125.65372146344981,101.1082135998085,70.77844247669672,92.16600068835328,106.47185447626946,76.22999612781672,106.37513038801808,120.56058675310429,108.9687625046121
