gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj
ENSMUSG00000000168,-0.1898062758241395,0.31825119043249384,0.7197065800474001
ENSMUSG00000000171,-0.04482897946362776,0.804965383833891,0.9501125334155074
ENSMUSG00000000182,-0.9504705610533659,0.8299662066911748,
ENSMUSG00000000183,,,
ENSMUSG00000000184,-0.43904452188601917,0.023868063317382875,0.18598458198893175
ENSMUSG00000000194,0.16480044114598594,0.3835234213597164,0.768116657445348
ENSMUSG00000000197,-0.8548924927159365,0.30185929879657913,0.7037315047990925
ENSMUSG00000000202,3.4552653751011206,0.28721759630678945,
ENSMUSG00000000204,-2.173882392075736,0.021882447251114205,0.17792585343311024
ENSMUSG00000000214,0.6433359996741594,0.5565221545833323,
ENSMUSG00000000215,3.8860821450379004,0.2427415364897334,
ENSMUSG00000000216,,,
ENSMUSG00000000223,0.050159554598513005,0.9802008057209537,
ENSMUSG00000000244,-0.3392725505462944,0.6117707361187525,0.8876724754825948
ENSMUSG00000000247,-0.3166184138391706,0.8720345992731725,
ENSMUSG00000000248,-0.35729328584409464,0.8762666395546281,
ENSMUSG00000000253,-0.1818667313897453,0.5055793201544211,0.8425686203289118
ENSMUSG00000000263,0.3077755137616506,0.6152905151595931,0.8876724754825948
ENSMUSG00000000266,0.2074169763426854,0.29275793493101665,0.695383246326419
ENSMUSG00000000275,0.11378760909303758,0.6929506180752483,0.9169613544268939
ENSMUSG00000000276,0.2473731630346589,0.1685519335128921,0.554035423887907
ENSMUSG00000000278,-0.5591311418860309,0.012401370837518187,0.12214523516899581
ENSMUSG00000000282,0.10334844888628522,0.7276244651338252,0.9279615157544548
ENSMUSG00000000290,0.3971899236182966,0.42738956265966965,0.7986660003458081
ENSMUSG00000000295,0.06013803114594457,0.7846282099813664,0.94344406073612
ENSMUSG00000000296,1.0248898647630327,0.0023043074795149753,0.03656695886396804
ENSMUSG00000000301,-1.6726615607225725,0.0016404404862271139,0.02858003271641436
ENSMUSG00000000303,-0.8082128041439015,0.22050873884472078,0.629680940365181
ENSMUSG00000000305,-0.9712882157120885,0.47484269457421546,0.8260551119352896
ENSMUSG00000000308,-3.199402272944315,0.3528132474575638,
ENSMUSG00000000317,-0.5270580260547294,0.016795509651397297,0.15028079800971192
ENSMUSG00000000318,-0.22705111068327347,0.8736677295619653,
ENSMUSG00000000320,1.012333368708315,1.613931463736867e-05,0.0007691684982338216
ENSMUSG00000000325,0.4424044636015841,0.2587600659209517,0.6653063310071368
ENSMUSG00000000326,-0.006383142358893034,0.973947459978386,0.9961989792449175
ENSMUSG00000000339,-0.25306647108699326,0.2085718874002378,0.613222102378331
ENSMUSG00000000340,-0.5643267547029358,0.023733596336508414,0.18522987441921568
ENSMUSG00000000346,0.04652977621657116,0.7878616585760484,0.9446411413571286
ENSMUSG00000000355,-0.20094130207022,0.4491092260423003,0.8132029003987968
ENSMUSG00000000359,-0.17028856316019428,0.8872016409694687,0.9733905024748983
ENSMUSG00000000365,-0.06436817065210329,0.9569820761564231,
ENSMUSG00000000374,0.031774026962593085,0.873609255684908,0.9694083779096312
