,gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
45,Mid2,0.2074169763426854,0.2927579349310166,0.695383246326419,0.0814440622143648,0.7045808342720004,0.9465978538316754,-0.0083504159434642,0.9568607104766216,0.9999543473702648
46,Trim25,0.1137876090930375,0.6929506180752483,0.916961354426894,-0.2699297128186846,0.2349675094811005,0.7301208095991397,0.0706394075337041,0.7030654944462423,0.9999543473702648
47,Dgke,0.2473731630346589,0.1685519335128921,0.554035423887907,-0.0621618644446931,0.7982813934286578,0.9681643047643224,-0.1031034336207584,0.4648457175401262,0.9999543473702648
48,Scpep1,-0.5591311418860309,0.0124013708375181,0.1221452351689958,-0.175036654085797,0.4810268870253552,0.8807887078598812,-0.0146505846649746,0.9367363439727674,0.9999543473702648
49,Mnt,0.1033484488862852,0.7276244651338252,0.9279615157544548,-0.2225849184453106,0.4019854693450222,0.8473659209274136,0.1513868766409128,0.4131002103207882,0.9999543473702648
50,Itgb2,0.3971899236182966,0.4273895626596696,0.7986660003458081,-1.4735868958934382,0.004544504545265,0.1051550095404592,-0.6707227888171386,0.1619962632452829,0.9999543473702648
51,Hddc2,0.0601380311459445,0.7846282099813664,0.94344406073612,0.0611937299676761,0.8638166791981386,0.9790814964946136,-0.0067165795951703,0.9803431255427985,0.9999543473702648
52,Tpd52l1,1.024889864763033,0.0023043074795149,0.036566958863968,0.4663311190814415,0.0352150403567418,0.3533386753574833,-0.2982262746997854,0.6200673748449829,0.9999543473702648
53,Pemt,-1.6726615607225723,0.0016404404862271,0.0285800327164143,0.024432752886107,0.9703500933343264,0.9944847603423778,-0.151631529856434,0.8143311711953503,0.9999543473702648
54,Cdh1,-0.8082128041439015,0.2205087388447207,0.629680940365181,-0.99878403039443,0.0834201569322569,0.5155182202298402,-0.969773645813066,0.243983312482313,0.9999543473702648
55,Cdh4,-0.9712882157120885,0.4748426945742154,0.8260551119352896,-0.4689708883427194,0.187076916015795,0.6790078673477639,0.307743815508276,0.2250952774736199,0.9999543473702648
56,Ckmt1,-3.199402272944315,0.3528132474575638,,-0.1518925109905063,0.9369129976311324,,2.4441967234869044,0.604803238678078,0.9999543473702648
57,Bcl6b,-0.5270580260547294,0.0167955096513972,0.1502807980097119,0.0972035483970239,0.7546287752083333,0.9597550996109104,-0.1284444368037504,0.4173145000071815,0.9999543473702648
58,Clec10a,-0.2270511106832734,0.8736677295619653,,0.2189497801586532,0.8980464283206171,,1.1092797266251693,0.5054353103036873,0.9999543473702648
59,Alox12,1.012333368708315,1.613931463736867e-05,0.0007691684982338,0.6810953306589117,0.0020140132336018,0.0600463659789579,-0.0095858357006239,0.962929802232826,0.9999543473702648
61,Comt,-0.006383142358893,0.973947459978386,0.9961989792449176,0.1709755832343665,0.4275695425820269,0.8601436859791837,0.1313284298417516,0.408423649410165,0.9999543473702648
62,Rtca,-0.2530664710869932,0.2085718874002378,0.613222102378331,0.2543349173040105,0.2884807307717131,0.7824798819618939,-0.0954943711574986,0.6334202139372862,0.9999543473702648
63,Dbt,-0.5643267547029358,0.0237335963365084,0.1852298744192156,0.0768313952520548,0.7740012992857033,0.9640688093550498,-0.0823684914472374,0.735340802295292,0.9999543473702648
64,Dazap2,0.0465297762165711,0.7878616585760484,0.9446411413571286,0.1254701789577435,0.4968963738552442,0.8878908827505725,-0.0732614063144434,0.5989949911670855,0.9999543473702648
65,Mcts1,-0.20094130207022,0.4491092260423003,0.8132029003987968,0.3861598229240456,0.1320074526836248,0.613780037000342,-0.1409012818341511,0.6217416321712834,0.9999543473702648
66,Rem1,-0.1702885631601942,0.8872016409694687,0.9733905024748984,0.0694631210018397,0.84093842447133,0.9759427813519306,0.4208319417557079,0.1761494867282449,0.9999543473702648
67,Rnf17,-0.0643681706521032,0.9569820761564232,,-0.4083296359892437,0.7157518918368724,,-1.076153891200767,0.4198128299303015,0.9999543473702648
68,Trappc10,0.031774026962593,0.873609255684908,0.9694083779096312,-0.1511305411414783,0.4894217257580172,0.8844808920206465,0.120899951700632,0.4484188274943488,0.9999543473702648
69,Ccm2,0.0729512063814517,0.6768431431358337,0.910551866389438,0.2764777024097033,0.1821567612829292,0.6753223134043919,0.0628076886864201,0.6890035082163022,0.9999543473702648
70,Wap,0.5776356924064822,0.6278003897291486,,0.6153144949677305,0.733076405457344,,0.0344694552192992,0.9806910282042084,0.9999543473702648
71,Tbrg4,-0.3499816067537216,0.0931253256064699,0.4166600390206037,0.2406173477386746,0.3146422610126128,0.8001925144617205,0.0417284315324632,0.8287007362246266,0.9999543473702648
72,Tmprss2,0.26945306578496,0.5671524399397798,0.8701952588711505,-0.0927725590605548,0.8522085397097506,0.9782895910926336,-0.2676125757852052,0.5317651666987865,0.9999543473702648
73,Mx1,0.3325286094120124,0.6977042479388011,,-0.6272399806876117,0.4727130766829809,0.8766353917773323,0.6379845789524985,0.6566338190579268,0.9999543473702648
