gene,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
ENSMUSG00000000296,-0.2982262746997854,0.6200673748449829,0.9999543473702648
ENSMUSG00000000301,-0.15163152985643402,0.8143311711953503,0.9999543473702648
ENSMUSG00000000303,-0.9697736458130661,0.24398331248231309,0.9999543473702648
ENSMUSG00000000305,0.30774381550827606,0.2250952774736199,0.9999543473702648
ENSMUSG00000000308,2.4441967234869044,0.604803238678078,0.9999543473702648
ENSMUSG00000000317,-0.1284444368037504,0.4173145000071815,0.9999543473702648
ENSMUSG00000000318,1.1092797266251693,0.5054353103036873,0.9999543473702648
ENSMUSG00000000320,-0.009585835700623936,0.962929802232826,0.9999543473702648
ENSMUSG00000000325,0.09893385513689429,0.6687114641792686,0.9999543473702648
ENSMUSG00000000326,0.1313284298417516,0.40842364941016507,0.9999543473702648
ENSMUSG00000000339,-0.09549437115749868,0.6334202139372862,0.9999543473702648
ENSMUSG00000000340,-0.0823684914472374,0.735340802295292,0.9999543473702648
ENSMUSG00000000346,-0.07326140631444349,0.5989949911670855,0.9999543473702648
ENSMUSG00000000355,-0.14090128183415118,0.6217416321712834,0.9999543473702648
ENSMUSG00000000359,0.42083194175570793,0.17614948672824493,0.9999543473702648
ENSMUSG00000000365,-1.0761538912007673,0.41981282993030156,0.9999543473702648
ENSMUSG00000000374,0.120899951700632,0.4484188274943488,0.9999543473702648
ENSMUSG00000000378,0.0628076886864201,0.6890035082163022,0.9999543473702648
ENSMUSG00000000381,0.03446945521929925,0.9806910282042084,0.9999543473702648
ENSMUSG00000000384,0.041728431532463264,0.8287007362246266,0.9999543473702648
ENSMUSG00000000385,-0.2676125757852052,0.5317651666987865,0.9999543473702648
ENSMUSG00000000386,0.6379845789524985,0.6566338190579268,0.9999543473702648
ENSMUSG00000000392,0.3624692166901364,0.1679789395566893,0.9999543473702648
ENSMUSG00000000394,,,
ENSMUSG00000000399,0.06854422827362693,0.6870630716425654,0.9999543473702648
ENSMUSG00000000402,,,
ENSMUSG00000000409,-0.19232580981908695,0.8375132062428747,0.9999543473702648
ENSMUSG00000000411,0.06838003171416218,0.9337664757902602,0.9999543473702648
ENSMUSG00000000416,-0.2602226380835936,0.10840117346715979,0.9999543473702648
ENSMUSG00000000420,-0.10898680627583832,0.40923433504824,0.9999543473702648
ENSMUSG00000000435,1.5684371850812173,0.7452138656914743,0.9999543473702648
ENSMUSG00000000439,0.23930722139664634,0.19401716001353275,0.9999543473702648
ENSMUSG00000000440,-1.0347630239349508,0.5543062093376061,0.9999543473702648
ENSMUSG00000000441,0.028098874145778403,0.8388509880998959,0.9999543473702648
ENSMUSG00000000486,0.22374353764809524,0.6284631894939496,0.9999543473702648
ENSMUSG00000000489,-0.22417311811373747,0.1095783008957595,0.9999543473702648
ENSMUSG00000000530,0.023155208651044,0.8524680922804155,0.9999543473702648
ENSMUSG00000000531,0.12464455825575224,0.4566491861130979,0.9999543473702648
ENSMUSG00000000532,0.17024516408813073,0.6345606135315195,0.9999543473702648
ENSMUSG00000000538,-0.1342068774412723,0.3075195226277361,0.9999543473702648
ENSMUSG00000000544,,,
ENSMUSG00000000552,0.4980956631000803,0.07627495181765666,0.9999543473702648
ENSMUSG00000000555,-0.022564346094271298,0.8798183471870913,0.9999543473702648
ENSMUSG00000000560,1.0230339828391517,0.6139460867553002,0.9999543473702648
ENSMUSG00000000561,-0.058957637898777566,0.8112835912315429,0.9999543473702648
ENSMUSG00000000562,-4.323102053535001,0.016602338642370047,0.9999543473702648
ENSMUSG00000000563,0.08487806276377356,0.5471078978602166,0.9999543473702648
ENSMUSG00000000567,0.27158025727905555,0.28093321022162143,0.9999543473702648
ENSMUSG00000000568,0.048603712222214275,0.744443139688711,0.9999543473702648
ENSMUSG00000000579,-1.1170240877338162,0.6973069305877755,0.9999543473702648
ENSMUSG00000000581,-0.10864379504321396,0.5638608873018729,0.9999543473702648
ENSMUSG00000000594,-0.14563769035982058,0.3492769316180421,0.9999543473702648
ENSMUSG00000000600,-0.23347145834075853,0.15324380204593183,0.9999543473702648
ENSMUSG00000000605,0.14403399361085042,0.35934338477611205,0.9999543473702648
ENSMUSG00000000606,,,
ENSMUSG00000000617,1.6219938394522797,0.5981396657744624,0.9999543473702648
ENSMUSG00000000627,-0.7801967818680164,0.8758970267260253,0.9999543473702648
ENSMUSG00000000628,-1.0080766757268047,0.15555735895996908,0.9999543473702648
ENSMUSG00000000631,0.04281856612742674,0.7712858392330371,0.9999543473702648
ENSMUSG00000000632,0.48663584710179036,0.6514214215469591,0.9999543473702648
ENSMUSG00000000673,-0.2242196787004115,0.8425244215806359,0.9999543473702648
ENSMUSG00000000682,-0.36030490346607885,0.6289363776285446,0.9999543473702648
ENSMUSG00000000686,0.11237983200444296,0.8855227866971617,0.9999543473702648
ENSMUSG00000000690,,,
ENSMUSG00000000693,0.4906574355063753,0.039981258461913416,0.9999543473702648
ENSMUSG00000000701,,,
ENSMUSG00000000702,,,
ENSMUSG00000000706,4.245099114080923,0.21457148871117593,0.9999543473702648
ENSMUSG00000000708,0.07772934516425574,0.6035724625625988,0.9999543473702648
ENSMUSG00000000711,0.07443898540333128,0.5755935856126654,0.9999543473702648
ENSMUSG00000000724,0.07206433499790788,0.8442946200045135,0.9999543473702648
ENSMUSG00000000730,,,
ENSMUSG00000000731,,,
ENSMUSG00000000732,0.0009609516163675441,0.9963509502763181,0.9999543473702648
ENSMUSG00000000738,-0.06874541519013508,0.7111517456514964,0.9999543473702648
ENSMUSG00000000739,-0.2445306443760112,0.6766937050433093,0.9999543473702648
