gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
ENSMUSG00000000420,-1.164704208782982,1.8688993441933257e-06,0.00014732533530275986,0.21404687474443343,0.267871765898563,0.6924333515512746,-0.09126364671152995,0.4915255036750007,0.9999068176988547
ENSMUSG00000000439,-0.011297190430459745,0.947425684787601,0.9840161766259566,-0.1348521921865326,0.49982543545473923,0.8382903553016915,0.25641324410694794,0.12212902533346519,0.9999068176988547
ENSMUSG00000000441,0.09220491456480041,0.5709844472590351,0.843845218924442,-0.01960991853493441,0.9159799310726281,0.9865060261710701,0.04666010756616079,0.7361011440456219,0.9999068176988547
ENSMUSG00000000489,0.3570620418255803,0.06633232964298885,0.3043642343281031,-0.08517445984466876,0.6759182704024225,0.9076818044955929,-0.20664576214651675,0.14846945825258556,0.9999068176988547
ENSMUSG00000000530,0.10849809033012187,0.5188555216454576,0.8180717861278178,-0.47373341851875495,0.009527489867704535,0.16828601683935462,0.040398391963040924,0.7582479929285151,0.9999068176988547
ENSMUSG00000000531,0.7282597513318296,0.005398196453695057,0.06276398620129518,-0.4367590792805557,0.030012832763233206,0.287520706434394,0.1428706654759084,0.38800518734689715,0.9999068176988547
ENSMUSG00000000538,0.24470107087100545,0.21700872254959158,0.56738963842734,-0.006824242761777768,0.9719277729824438,0.9966082662194481,-0.1173744510732734,0.38379898389176237,0.9999068176988547
ENSMUSG00000000555,-0.8805439804876969,4.59662366985829e-07,4.896646539120662e-05,0.32374375037644976,0.1053600806794247,0.496065032723893,-0.004779964925247055,0.9746857969266957,0.9999068176988547
ENSMUSG00000000561,-0.575927274660649,0.009331721674604204,0.0898192453735103,0.08522910297522991,0.7095175837698873,0.9235727367059071,-0.04286788818647602,0.8422458392494971,0.9999068176988547
ENSMUSG00000000563,-0.035091701195740614,0.8335754505464481,0.949606824418288,-0.12100984038001655,0.5376151485242548,0.8555584012435187,0.10298685147248651,0.47079750905166085,0.9999068176988547
ENSMUSG00000000567,0.964840125980375,0.002173302024362203,0.03313760127281866,-0.22738980864251254,0.4067262182328597,0.7855627010470123,0.28752901437741896,0.21788720221712488,0.9999068176988547
ENSMUSG00000000568,-0.22153673069559335,0.26221547825098557,0.6182320501684041,0.38658323330001365,0.08432264281605817,0.4533368230952335,0.06662757258507243,0.6586502387775293,0.9999068176988547
ENSMUSG00000000581,0.15309215354338007,0.4511691038068574,0.7711548233541753,-0.15338126687853854,0.45480139490530014,0.8142907674489253,-0.09169951818871099,0.6004256656733096,0.9999068176988547
ENSMUSG00000000594,0.5786496234955076,0.012826372127533046,0.10997557527798736,-0.2864464012855343,0.14216452623622877,0.5542480848876876,-0.1283612127656253,0.40079385956958913,0.9999068176988547
ENSMUSG00000000600,-0.060359243678837486,0.7466757264386628,0.9161572407265247,0.10955764892945176,0.5701717864207183,0.8697707341788818,-0.21428375021595364,0.17775938280434067,0.9999068176988547
ENSMUSG00000000605,-0.16795884292926888,0.4502477053875956,0.77024797343108,0.02673750937400736,0.9035410686361857,0.9840855376233395,0.1611285961316139,0.2859821618595435,0.9999068176988547
ENSMUSG00000000631,-0.0336559363571977,0.881254963010751,0.9642593358803684,0.24857133010059138,0.1929728385744719,0.6160943430282795,0.05976143799611597,0.6773985309748995,0.9999068176988547
ENSMUSG00000000708,0.12384636012509917,0.47391783517054786,0.7868353611308823,0.050396510502847346,0.8122081150288718,0.9586080271606319,0.09622809845769531,0.5165365535531956,0.9999068176988547
ENSMUSG00000000711,0.29009510550203327,0.07957002835795039,0.3363273638314868,-0.4742224275256949,0.05935083044789856,0.3955528191316412,0.09141333148961901,0.5018825689020108,0.9999068176988547
ENSMUSG00000000732,-0.6927064064978293,0.0017081927937640125,0.02742501790884259,0.4282951259301273,0.058205104857691155,0.3923135707539758,0.01927811889967792,0.9182925249651503,0.9999068176988547
ENSMUSG00000000738,0.1376388944016455,0.48259156253047375,0.7937742683969836,-0.013787832002608537,0.9446641102947597,0.9907884776954351,-0.05225616945962582,0.7590452041850613,0.9999068176988547
