,gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,TBI Chronic vs CControl Log2 fold change,Chronic pval,Chronic padj
6434,Ppp1r2,0.0837639277131957,0.6393162051647916,0.8730322114672291,-0.1270512815407664,0.5133051792363886,0.8423188397784089,-0.1506939305856244,0.3272011840218091,0.9999068176988548
6435,Wbp1l,-0.1788958689088653,0.4657546797992359,0.7820115315990153,0.714955010489961,0.0012478165186281,0.0530047775028236,-0.0303230160009812,0.8743511626203607,0.9999068176988548
6436,Samd9l,0.2511716010212713,0.338891861874583,0.6887095616901164,-0.3106259199389282,0.21437528113171,0.643038216840424,-0.1948961584171128,0.2507294069597634,0.9999068176988548
6437,Lrrc49,0.7174063391793862,2.6086106557413965e-05,0.0012096281058358,-0.239567712766536,0.1981823971750713,0.6243472341322236,-0.0340256148835625,0.8043788761065355,0.9999068176988548
6438,Phf13,-0.2493146431129732,0.1848931622927814,0.5241371709550132,0.1091503699914502,0.6124801782510851,0.8873846060830471,0.3071154606798674,0.087258902747952,0.9999068176988548
6439,Slc38a9,0.3061425749367003,0.0934076244293836,0.3666993542713304,0.0695839756277535,0.7317011452893039,0.9328465623732864,-0.3121513972176972,0.0578719954789715,0.9999068176988548
6440,Sned1,0.4798760799150413,0.0617396417894779,0.2922776065478795,0.589759905913734,0.0054474540534723,0.1255130262650245,0.2527847732306766,0.2580534062508869,0.9999068176988548
6441,Akap10,0.1094176048486844,0.5577439058266696,0.8366689266663436,0.0739440226509038,0.7295311047612518,0.9323863400412032,-0.1796108150473937,0.2374442576827432,0.9999068176988548
6442,Trim16,-0.1182911143077183,0.5717340182582198,0.8439526629780362,0.1361529844111043,0.5880761100121399,0.8786727754375223,0.0076897872185906,0.9655447885259488,0.9999068176988548
6443,Pygo2,0.066004939073974,0.7282414992539801,0.9097156892190724,0.080257979263622,0.7507752946675179,0.9410252599018452,-0.1871062750674331,0.2850098826412238,0.9999068176988548
6444,Cdca4,-0.9376576577965868,1.701450337334434e-06,0.0001354801314061,0.3620662694670946,0.1311674709145846,0.5371057826486513,0.0941455161199418,0.5969998134694261,0.9999068176988548
6445,Bri3,0.4140253124420649,0.0470974426322884,0.2530805318816153,-0.431850387031632,0.0555919706116094,,-0.0250108904424637,0.8974376238441576,0.9999068176988548
6446,Lonp2,0.0494708760922596,0.7830564165878905,0.9282832528145378,-0.0888958607571101,0.6489330068896457,0.8989827365457448,-0.0133028393812438,0.9208364178276148,0.9999068176988548
6447,Gimap6,0.0951684616991211,0.5840780787591799,0.851596704037323,-0.0526561944858604,0.8213860916807966,0.959813538050456,0.0796398768576917,0.6105776681692954,0.9999068176988548
6448,A4galt,0.1333371993641176,0.519547208677668,0.8181363655625363,-0.1358697009783477,0.5132157742055834,0.8423188397784089,-0.0934358936335962,0.6064873101393377,0.9999068176988548
6449,Usp14,-0.3924588815977232,0.0244824164430052,0.1673396747466391,0.2002069579879798,0.2957034141159514,0.7086976377969764,0.0429203919926006,0.7643780781156981,0.9999068176988548
6450,Rell1,-0.8395527266731294,0.0002693654186583,0.0068718692404002,0.0896194788421026,0.7059216354345268,0.9217005181197366,-0.069601484087633,0.6530350517819581,0.9999068176988548
6451,Tnrc6b,0.0181932393650734,0.9194960153996868,0.9757458887018496,0.5651552547965667,0.00412336496496,0.1080601170986655,-0.0295965163446951,0.8420787331958054,0.9999068176988548
6452,Ankrd16,0.3240677358886202,0.1273579264077262,0.4295945801763399,0.2205857514281557,0.307382016443084,0.7174573047199755,-0.1741913312084106,0.3617152434572461,0.9999068176988548
6453,Pcdhb16,-0.7188776078769749,8.974502811043992e-06,0.0004947273123039,0.4722594392911431,0.0144588405482408,0.2117270132779602,0.1692432046249468,0.3916747525977517,0.9999068176988548
6454,Trappc9,0.0621928914482175,0.736951990610929,0.9125655893788804,0.1683089635625911,0.3966540543307051,0.781788588616796,0.2185272576922297,0.1800926274426196,0.9999068176988548
6455,Ino80c,-1.6117746138379898,7.754808861750326e-08,1.1534180803241096e-05,-0.0492491048098292,0.8195488559811198,0.9595970564570092,-0.2179686613758986,0.1664232298536496,0.9999068176988548
