gene,SRR5292044,SRR5292039,SRR5292051,SRR5292041,SRR5292047,SRR5292053,SRR5292052,SRR5292042,SRR5292046,SRR5292049,SRR5292045,SRR5292050,SRR5292043,SRR5292040,SRR5292054,SRR5292048
Anpep,12.401951838260231,12.569953310733098,77.82402111421855,132.5643128018906,94.06829874290746,87.25398531093997,87.47891293437067,118.19736721072435,125.81519656669964,143.34234758374066,78.0133991683397,114.17814171113083,103.85588710137067,14.784900081824233,65.41937499757726,147.7480463177881
Antxr1,11.543355172534524,14.09051217896694,27.492472063717067,23.052913880268072,38.641438702941535,34.82245218758602,28.35751169016007,22.34861066502923,16.272341174450315,35.8226638570257,22.5788293504734,30.165060073590038,15.988461767602319,17.169561385344274,31.4030421925787,38.6920298091887
Antxr2,12.020353320159916,6.487717837797728,5.93709027056925,7.885464433739166,15.648908433996684,6.212642038012506,7.2191335916713655,14.138020892218886,6.136218040644672,16.438105492834303,7.188775264052069,7.329431731363871,12.302361071901496,7.500843736526663,5.487910286081714,15.468649048188311
Anxa1,57.00127864123452,28.890618496443008,28.7226799576188,27.760053363673595,44.105443044420824,27.897532718463797,38.03020702540602,41.71155232176379,25.635755369804407,68.54379837578078,35.133873473606585,23.344028231106897,50.72996082458257,26.83827903416188,30.096396886368765,51.54855870148242
Anxa11,,5.98086488171978,5.883602970834392,6.7992014760302,5.769988584602129,7.32062915307206,6.60574315577772,6.629941474301403,8.272530988128374,5.892905742714184,7.543151509463086,6.863398499889868,,7.327413823543388,6.271897469807674,5.714012841019429
Anxa2,469.55697652243737,188.54929966099647,107.2420359683905,132.08152926513102,189.36053445830626,93.6249112225324,111.02366889674983,313.6708734596637,125.0424876282481,238.66268257992448,168.78434317147602,102.78151086872111,378.1939313789044,145.5076969929681,117.38030334119223,171.33875647571116
Anxa3,292.8768626419916,302.59121477853466,175.91972882794832,231.7360976445796,237.61862080225134,189.62408054876386,195.52999741102053,268.62239695215885,209.90411045701552,191.72620526076238,281.678489923843,183.5323598859439,206.42163895924605,285.075419466259,212.8525203815979,161.66574902341398
Anxa4,81.28048435536707,92.34860859740203,72.9031895386116,78.37186080063212,86.20013249117727,73.04800765714066,92.00856538404682,84.21342879278205,83.90710002244492,85.49882542499353,94.3147064572465,82.61498194311878,80.12661387279663,86.67159901339191,92.46693283612287,79.87373664196444
Anxa5,394.7636669747757,230.00987146817258,224.64665888640405,230.08658722731784,252.65556075000234,229.3533328173279,233.70175607547893,287.9853386088934,224.67648722153046,269.8847445851821,274.3378391260434,236.40594832953988,371.74325516142795,233.4800203537346,251.74699566311355,220.31600939873482
Anxa6,91.63134415883809,94.37602042171382,83.22623838743921,94.06232574531721,100.27540767482792,76.60939481268925,88.13948724994844,118.98769135997883,74.22551155831667,101.21324073889801,90.61906846938875,82.65734860052551,117.95522226242632,72.06012884455095,86.28214505339585,106.48471073014063
