,gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj
204,Lman2l,0.0732828758982417,0.7196119345264771,0.938164761364947
205,Mcm3ap,0.3212061164622585,0.1227923471352206,0.5230145489775538
206,Pcnt,0.2902573790890168,0.3217117367217946,0.7642823454015073
207,Ftcd,-4.0164342473480295,0.131542476029576,
208,Mxd1,-0.3372796840541431,0.2097242160008849,0.6593016512524243
209,Gmcl1,0.2987703509231138,0.20992440667799,0.6595859793997526
210,Snrnp27,0.1155819376838057,0.6227383051447231,0.9116423070434876
211,Oas1c,0.6586835690218086,0.0278179505497566,0.2348067478194457
212,Oas1h,0.0017912204719014,0.9996608110780904,
213,Ocrl,-0.0746640341841752,0.6588512026827171,0.9220264455081328
214,Calm1,-0.248370924038374,0.1266769700562695,0.5291806376408353
215,Agpat3,0.2811662510173418,0.1364281469385319,0.545910727728511
216,Slc26a3,-0.8791223930511235,0.4034719652192232,
217,Sema6b,-0.2670254448089355,0.2233501121615297,0.6745147126242084
218,Uhrf1,-1.1401875886042898,0.0039817306027689,0.0649338098616631
219,Dpp9,0.2329716054447785,0.2561000996591475,0.7070509917318384
220,Ramp2,0.1247089726715972,0.5213615076878643,0.8742017787513724
221,Lsr,0.4709853669496509,0.0171864246928127,0.1751719516805138
222,Gramd1a,-0.1978936884967596,0.3727387781777331,0.7976006179318128
223,Hpn,0.9950743554728508,0.3959972736032087,
224,Gabrg1,-1.448880235025439,0.6423993880936765,
225,Ckb,-0.4540802537311255,0.0897785115215165,0.4480494303944598
226,Sp1,-0.0421345106319005,0.8104191576880707,0.9622557994800908
227,Itgb7,0.7080873248999286,0.1581311691826959,0.5852448242734216
228,Myg1,0.2204650138279323,0.383104353151764,0.8027433626410325
229,Rarg,0.7314125766399644,0.0079208133279271,0.1031848302592431
230,Pfdn5,0.5383875440838906,0.0180128822938136,0.1815745464362571
231,Efnb2,0.2145004050731122,0.2770979243859924,0.7259736561708292
232,Rrp15,-1.0149785208450774,0.0001785038785509,0.0061541907658812
233,Rnd2,0.0351229690933332,0.9097079892832144,0.9821239374352508
234,Srr,0.2022038411335357,0.3599587198642571,0.7894914058552864
235,Sync,-0.309037566130445,0.6743715850314742,0.9259896068136536
236,Fndc5,-1.045085446605433,0.3397510647783847,
237,Acp5,-0.6958436607287583,0.0791363424415467,0.4205620663914386
238,Cnn1,-0.4447580092601946,0.6471256928186697,
239,Fbxo9,0.0814284986510646,0.6609367201877152,0.9222142676406008
240,Vps50,-0.0410411418781669,0.8440806099395958,0.9712367344536584
242,Hars1,-0.189647557542305,0.3861110381180032,0.8056264836767597
243,Zmat2,-0.0205394302684211,0.919018343923046,0.98436139131207
244,Ube2c,0.4223067191562398,0.1718213815142822,0.6059357689969346
245,Smg5,0.1328036215479181,0.4948793362478236,0.8624428989956743
246,Cct3,-0.3281260346121103,0.0823653364011482,0.4292635100703737
248,Glmp,0.3709447658995534,0.0260971196066176,0.2255651768130028
249,Mef2d,0.2622414503338257,0.1353859101107104,0.5436299609304077
250,Tmem79,0.6812264630956146,0.0381397922508786,0.2819748411016208
251,Snd1,-0.5120064162065601,0.0035847689192211,0.0599835763454048
252,Col18a1,-0.4662266213498804,0.0426834610352478,0.3003477286052163
